time_fs,S2
1.678702719999999999e+02,2.045415382115216563e-01
1.683540480000000059e+02,2.031348131445473715e-01
1.688378240000000119e+02,2.034855857431664694e-01
1.693215999999999894e+02,2.029279686822214324e-01
1.698053759999999954e+02,2.040728136041708440e-01
1.702891520000000014e+02,2.056931326250798497e-01
1.707729280000000074e+02,2.069928954494200946e-01
1.712567040000000134e+02,2.071402570302812995e-01
1.717404799999999909e+02,2.095442960357317974e-01
1.722242559999999969e+02,2.099253673454188618e-01
1.727080320000000029e+02,2.093002081003267068e-01
1.731918080000000089e+02,2.070044895494186910e-01
1.736755839999999864e+02,2.060947540937281275e-01
1.741593599999999924e+02,2.068529087374019193e-01
1.746431359999999984e+02,2.080654160354230009e-01
1.751269120000000044e+02,2.100487786664494982e-01
1.756106880000000103e+02,2.097229365931658207e-01
1.760944639999999879e+02,2.095075846561869071e-01
1.765782399999999939e+02,2.094122450042605610e-01
1.770620159999999998e+02,2.098910097467532043e-01
1.775457920000000058e+02,2.096816866433607596e-01
1.780295680000000118e+02,2.110518347114070936e-01
1.785133439999999894e+02,2.131790563814019435e-01
1.789971199999999953e+02,2.134124889804070724e-01
1.794808960000000013e+02,2.114123701260001431e-01
1.799646720000000073e+02,2.110704751488289010e-01
1.804484480000000133e+02,2.113440121908256586e-01
1.809322239999999908e+02,2.094912318781484983e-01
1.814159999999999968e+02,2.074036191983443522e-01
1.818997760000000028e+02,2.075417042192505834e-01
1.823835520000000088e+02,2.058694782378692745e-01
1.828673279999999863e+02,2.059794963698310666e-01
1.833511039999999923e+02,2.048562631289242986e-01
1.838348799999999983e+02,2.044627724958103798e-01
1.843186560000000043e+02,2.066436924822904198e-01
1.848024320000000102e+02,2.075886096397411007e-01
1.852862079999999878e+02,2.045416440148510595e-01
1.857699839999999938e+02,2.017119521554453232e-01
1.862537599999999998e+02,2.021547849791340556e-01
1.867375360000000057e+02,2.040125959410508949e-01
1.872213120000000117e+02,2.035262151695961808e-01
1.877050879999999893e+02,2.021053019649799998e-01
1.881888639999999953e+02,2.011296311151765381e-01
1.886726400000000012e+02,2.015530729537754195e-01
1.891564160000000072e+02,1.984374303257448457e-01
1.896401920000000132e+02,1.959750286792994178e-01
1.901239679999999908e+02,1.943841373448326193e-01
1.906077439999999967e+02,1.938862316560221177e-01
1.910915200000000027e+02,1.942017326618991624e-01
1.915752960000000087e+02,1.945316072720033040e-01
1.920590719999999862e+02,1.937760189642776798e-01
1.925428479999999922e+02,1.942075746960302274e-01
1.930266239999999982e+02,1.942851578477841623e-01
1.935104000000000042e+02,1.922922620433299146e-01
