time_fs,S0,S1,S2
3.870208000000000226e+01,0.000000000000000000e+00,6.637118201098120007e-01,3.362882949522244536e-01
3.918585600000000113e+01,0.000000000000000000e+00,6.970024323424176549e-01,3.029976752785292771e-01
3.966963200000000001e+01,0.000000000000000000e+00,7.181478746140499414e-01,2.818522313789632583e-01
4.015340799999999888e+01,0.000000000000000000e+00,7.345231080353390452e-01,2.654769491147240257e-01
4.063718399999999775e+01,0.000000000000000000e+00,7.502170049203671365e-01,2.497830646161883217e-01
4.112095999999999663e+01,0.000000000000000000e+00,7.631217754756326466e-01,2.368782535546696544e-01
4.160473600000000260e+01,0.000000000000000000e+00,7.702906703930918475e-01,2.297093066723185084e-01
4.208851200000000148e+01,0.000000000000000000e+00,7.756262399484146197e-01,2.243737526236317670e-01
4.257228800000000035e+01,0.000000000000000000e+00,7.772239605810266072e-01,2.227760684808341718e-01
4.305606399999999923e+01,0.000000000000000000e+00,7.777971304294375443e-01,2.222029826849260814e-01
4.353983999999999810e+01,0.000000000000000000e+00,7.812296604241070197e-01,2.187704918368218454e-01
4.402361599999999697e+01,0.000000000000000000e+00,7.840315135178943518e-01,2.159685890584298329e-01
4.450739200000000295e+01,0.000000000000000000e+00,7.860268618244434791e-01,2.139733395836313778e-01
4.499116800000000183e+01,0.000000000000000000e+00,7.877803585823259791e-01,2.122197130207198468e-01
4.547494400000000070e+01,0.000000000000000000e+00,7.885057488949297477e-01,2.114943210842366306e-01
4.595871999999999957e+01,0.000000000000000000e+00,7.887710951052366859e-01,2.112289496847085390e-01
4.644249599999999845e+01,0.000000000000000000e+00,7.892247370945296714e-01,2.107753038622595110e-01
4.692627199999999732e+01,0.000000000000000000e+00,7.894461253726854366e-01,2.105539246375361107e-01
4.741004800000000330e+01,0.000000000000000000e+00,7.906196110310873548e-01,2.093805016709234246e-01
4.789382400000000217e+01,0.000000000000000000e+00,7.916021629301727147e-01,2.083979034686050669e-01
4.837760000000000105e+01,0.000000000000000000e+00,7.899027392191310115e-01,2.100973276908381648e-01
4.886137599999999992e+01,0.000000000000000000e+00,7.864522688566475406e-01,2.135478017288851560e-01
4.934515199999999879e+01,0.000000000000000000e+00,7.774604072012980538e-01,2.225395875241973076e-01
4.982892799999999767e+01,0.000000000000000000e+00,7.671456341600773055e-01,2.328543353753167733e-01
5.031270399999999654e+01,0.000000000000000000e+00,7.513900838658387205e-01,2.486099425484996905e-01
5.079648000000000252e+01,0.000000000000000000e+00,7.366520158468985446e-01,2.633479285455209706e-01
5.128025600000000139e+01,0.000000000000000000e+00,7.182765846018391853e-01,2.817233267803695984e-01
5.176403200000000027e+01,0.000000000000000000e+00,7.052781735896718196e-01,2.947218182710117929e-01
5.224780799999999914e+01,0.000000000000000000e+00,6.919830376059720178e-01,3.080170694051940217e-01
5.273158399999999801e+01,0.000000000000000000e+00,6.772731910897278329e-01,3.227269851385757282e-01
5.321535999999999689e+01,0.000000000000000000e+00,6.628674436409143222e-01,3.371327225436336894e-01
5.369913600000000287e+01,0.000000000000000000e+00,6.572185116216580081e-01,3.427817081561331247e-01
5.418291200000000174e+01,0.000000000000000000e+00,6.599174089482811034e-01,3.400827959396044986e-01
5.466668800000000061e+01,0.000000000000000000e+00,6.653018587867217670e-01,3.346983858185119676e-01
5.515046399999999949e+01,0.000000000000000000e+00,6.754920698035201676e-01,3.245082316144436430e-01
5.563423999999999836e+01,0.000000000000000000e+00,6.919217106856977439e-01,3.080785131708660418e-01
5.611801599999999723e+01,0.000000000000000000e+00,7.095958187042797904e-01,2.904044793967198168e-01
5.660179200000000321e+01,0.000000000000000000e+00,7.222324584113594126e-01,2.777678285650453383e-01
5.708556800000000209e+01,0.000000000000000000e+00,7.319804351225237538e-01,2.680198207985082792e-01
5.756934400000000096e+01,0.000000000000000000e+00,7.440748171227771213e-01,2.559253619436662186e-01
5.805311999999999983e+01,0.000000000000000000e+00,7.549335602517555088e-01,2.450665766937067391e-01
5.853689599999999871e+01,0.000000000000000000e+00,7.638521005600396041e-01,2.361479750187623350e-01
5.902067199999999758e+01,0.000000000000000000e+00,7.656117217012252674e-01,2.343884525795958407e-01
5.950444799999999645e+01,0.000000000000000000e+00,7.660805779967664320e-01,2.339195587257430486e-01
5.998822400000000243e+01,0.000000000000000000e+00,7.667315349523255996e-01,2.332685711875929213e-01
6.047200000000000131e+01,0.000000000000000000e+00,7.665487555413631471e-01,2.334513002345734445e-01
6.095577600000000018e+01,0.000000000000000000e+00,7.679727538894882688e-01,2.320272918620450153e-01
6.143955199999999905e+01,0.000000000000000000e+00,7.697847384760846401e-01,2.302153427685816323e-01
6.192332799999999793e+01,0.000000000000000000e+00,7.714895512882177231e-01,2.285104981909779065e-01
6.240710399999999680e+01,0.000000000000000000e+00,7.739962110334129841e-01,2.260037801112343425e-01
6.289088000000000278e+01,0.000000000000000000e+00,7.737493885873715227e-01,2.262505719277602134e-01
6.337465600000000165e+01,0.000000000000000000e+00,7.738266278978344070e-01,2.261733559128897841e-01
6.385843200000000053e+01,0.000000000000000000e+00,7.765404534409000581e-01,2.234595075501347172e-01
6.434220799999999940e+01,0.000000000000000000e+00,7.754949495783715063e-01,2.245050139645564935e-01
6.482598400000000538e+01,0.000000000000000000e+00,7.700879668698968894e-01,2.299119412879700175e-01
6.530975999999999715e+01,0.000000000000000000e+00,7.673953272936862025e-01,2.326046289627607122e-01
6.579353600000000313e+01,0.000000000000000000e+00,7.647809945134136367e-01,2.352189376075955740e-01
6.627731199999999490e+01,0.000000000000000000e+00,7.592394960446546825e-01,2.407604776781366307e-01
6.676108800000000087e+01,0.000000000000000000e+00,7.559904028543439347e-01,2.440096221728527692e-01
6.724486399999999264e+01,0.000000000000000000e+00,7.506917112557087712e-01,2.493083539487684075e-01
6.772863999999999862e+01,0.000000000000000000e+00,7.439717900215218060e-01,2.560283619131236144e-01
6.821241600000000460e+01,0.000000000000000000e+00,7.370082092805257945e-01,2.629919297809845125e-01
