time_fs,S2
9.191743999999999915e+01,2.507109341722711382e-01
9.240121600000000512e+01,2.484667689502630117e-01
9.288499199999999689e+01,2.444670467319066676e-01
9.336876800000000287e+01,2.381579338225583431e-01
9.385254399999999464e+01,2.363409255541155662e-01
9.433632000000000062e+01,2.338554069033166039e-01
9.482009600000000660e+01,2.324768797326056402e-01
9.530387199999999837e+01,2.356696714169112250e-01
9.578764800000000434e+01,2.344171739274594213e-01
9.627142399999999611e+01,2.347253943176963176e-01
9.675520000000000209e+01,2.380762119567937929e-01
9.723897599999999386e+01,2.349226928712889739e-01
9.772275199999999984e+01,2.321752803584739011e-01
9.820652800000000582e+01,2.310265084657263379e-01
9.869030399999999759e+01,2.309023809984115938e-01
9.917408000000000357e+01,2.320288257832572310e-01
9.965785599999999533e+01,2.335014261314652118e-01
1.001416320000000013e+02,2.334252791966514862e-01
1.006254079999999931e+02,2.293332787398981443e-01
1.011091839999999991e+02,2.292647833808612867e-01
1.015929600000000050e+02,2.264758087937433217e-01
1.020767359999999968e+02,2.236247745574740375e-01
1.025605120000000028e+02,2.195143386844323752e-01
1.030442879999999946e+02,2.166258533245427054e-01
1.035280640000000005e+02,2.174339450779775029e-01
1.040118400000000065e+02,2.197454322870032173e-01
1.044956159999999983e+02,2.228880216740256048e-01
1.049793920000000043e+02,2.218782466541556753e-01
1.054631679999999960e+02,2.203349872242723606e-01
1.059469440000000020e+02,2.163378685276823310e-01
1.064307199999999938e+02,2.156091391668156498e-01
1.069144959999999998e+02,2.139899507965204450e-01
1.073982720000000057e+02,2.160197539413991341e-01
1.078820479999999975e+02,2.161711844634628121e-01
1.083658240000000035e+02,2.182415880822440035e-01
1.088495999999999952e+02,2.221001068555451263e-01
1.093333760000000012e+02,2.209694861009659783e-01
1.098171519999999930e+02,2.222186443448391502e-01
1.103009279999999990e+02,2.200085156733679048e-01
1.107847040000000050e+02,2.198912266979657082e-01
1.112684799999999967e+02,2.200917092865032898e-01
1.117522560000000027e+02,2.176340778237968177e-01
