t_fs,S2_vel_mean,S2_vel_sem,S2_coup_mean,S2_coup_sem,S1_vel_mean,S1_coup_mean
21.5280,0.28716,0.02582,0.15382,0.02124,0.71277,0.84530
21.7699,0.28091,0.02511,0.15073,0.02061,0.71899,0.84851
22.0118,0.27101,0.02406,0.14745,0.02033,0.72888,0.85175
22.2537,0.26412,0.02345,0.14546,0.02018,0.73581,0.85372
22.4956,0.25825,0.02295,0.14374,0.01998,0.74176,0.85546
22.7375,0.25199,0.02246,0.14081,0.01960,0.74815,0.85838
22.9794,0.24673,0.02193,0.13809,0.01901,0.75338,0.86114
23.2212,0.24139,0.02138,0.13644,0.01849,0.75870,0.86280
23.4631,0.23631,0.02083,0.13486,0.01821,0.76375,0.86431
23.7050,0.23197,0.02038,0.13320,0.01795,0.76805,0.86597
23.9469,0.22847,0.02005,0.13118,0.01777,0.77153,0.86797
24.1888,0.22392,0.01978,0.12883,0.01765,0.77605,0.87034
24.4307,0.21939,0.01954,0.12649,0.01753,0.78058,0.87269
24.6726,0.21537,0.01927,0.12541,0.01735,0.78461,0.87375
24.9145,0.21342,0.01912,0.12516,0.01716,0.78658,0.87404
25.1564,0.21239,0.01901,0.12595,0.01707,0.78761,0.87324
25.3982,0.21055,0.01883,0.12643,0.01716,0.78947,0.87274
25.6401,0.20811,0.01853,0.12729,0.01731,0.79191,0.87187
25.8820,0.20537,0.01823,0.12690,0.01752,0.79466,0.87223
26.1239,0.20315,0.01805,0.12492,0.01778,0.79687,0.87420
26.3658,0.20169,0.01798,0.12298,0.01800,0.79833,0.87617
26.6077,0.20078,0.01795,0.12121,0.01818,0.79921,0.87793
26.8496,0.19971,0.01793,0.12094,0.01829,0.80023,0.87819
27.0915,0.19887,0.01786,0.12223,0.01830,0.80107,0.87692
27.3333,0.19899,0.01772,0.12316,0.01831,0.80086,0.87598
27.5752,0.19968,0.01757,0.12342,0.01836,0.80050,0.87544
27.8171,0.19998,0.01740,0.12273,0.01847,0.80027,0.87596
28.0590,0.20024,0.01722,0.12153,0.01860,0.80000,0.87714
28.3009,0.19947,0.01707,0.12015,0.01844,0.80076,0.87852
28.5428,0.19674,0.01684,0.11841,0.01808,0.80347,0.88025
28.7847,0.19321,0.01657,0.11647,0.01779,0.80699,0.88220
29.0266,0.19054,0.01634,0.11415,0.01761,0.80966,0.88451
29.2684,0.18815,0.01617,0.11197,0.01752,0.81206,0.88667
29.5103,0.18578,0.01613,0.11042,0.01743,0.81444,0.88822
29.7522,0.18347,0.01623,0.10948,0.01730,0.81675,0.88914
29.9941,0.18076,0.01640,0.10836,0.01712,0.81945,0.89026
30.2360,0.17806,0.01648,0.10639,0.01684,0.82217,0.89220
30.4779,0.17573,0.01637,0.10386,0.01654,0.82451,0.89471
30.7198,0.17472,0.01615,0.10150,0.01644,0.82550,0.89706
30.9617,0.17319,0.01596,0.09986,0.01647,0.82698,0.89873
31.2036,0.17101,0.01572,0.09862,0.01656,0.82913,0.89991
31.4454,0.16843,0.01555,0.09807,0.01669,0.83166,0.90049
31.6873,0.16469,0.01547,0.09798,0.01683,0.83545,0.90049
31.9292,0.16105,0.01541,0.09929,0.01687,0.83908,0.89915
32.1711,0.15777,0.01533,0.10053,0.01682,0.84234,0.89791
32.4130,0.15566,0.01521,0.10110,0.01683,0.84446,0.89737
32.6549,0.15359,0.01511,0.10079,0.01689,0.84653,0.89765
32.8968,0.15152,0.01501,0.09937,0.01685,0.84859,0.89907
33.1387,0.14992,0.01496,0.09710,0.01654,0.85018,0.90134
33.3805,0.14976,0.01493,0.09446,0.01632,0.85033,0.90393
33.6224,0.15023,0.01504,0.09191,0.01618,0.84985,0.90647
33.8643,0.14971,0.01513,0.08976,0.01606,0.85038,0.90862
34.1062,0.14849,0.01504,0.08854,0.01602,0.85161,0.90978
34.3481,0.14731,0.01485,0.08857,0.01604,0.85280,0.90986
34.5900,0.14724,0.01466,0.08929,0.01608,0.85286,0.90911
34.8319,0.14945,0.01470,0.09031,0.01606,0.85063,0.90812
35.0738,0.15088,0.01492,0.09079,0.01602,0.84918,0.90762
35.3156,0.15160,0.01503,0.09016,0.01598,0.84842,0.90823
35.5575,0.15286,0.01506,0.08918,0.01585,0.84715,0.90920
35.7994,0.15502,0.01503,0.08798,0.01550,0.84500,0.91039
36.0413,0.15665,0.01496,0.08623,0.01478,0.84335,0.91214
36.2832,0.15757,0.01487,0.08448,0.01396,0.84240,0.91408
36.5251,0.15841,0.01480,0.08352,0.01337,0.84161,0.91484
36.7670,0.15846,0.01479,0.08332,0.01273,0.84156,0.91499
37.0089,0.15719,0.01466,0.08408,0.01224,0.84283,0.91410
37.2508,0.15623,0.01454,0.08328,0.01188,0.84379,0.91497
37.4926,0.15652,0.01448,0.08159,0.01164,0.84352,0.91667
37.7345,0.15808,0.01436,0.08110,0.01145,0.84192,0.91714
37.9764,0.16318,0.01449,0.08121,0.01131,0.83683,0.91705
38.2183,0.16679,0.01459,0.08213,0.01127,0.83320,0.91586
38.4602,0.16978,0.01461,0.08295,0.01130,0.83020,0.91537
38.7021,0.17166,0.01461,0.08374,0.01134,0.82833,0.91460
38.9440,0.17278,0.01465,0.08418,0.01140,0.82724,0.91413
39.1859,0.17342,0.01475,0.08501,0.01143,0.82658,0.91326
39.4277,0.17359,0.01482,0.08568,0.01152,0.82633,0.91255
39.6696,0.17357,0.01470,0.08596,0.01163,0.82633,0.91236
39.9115,0.17360,0.01450,0.08729,0.01174,0.82629,0.91105
