true,pred
4.980468750000000000e-02,7.549315690994262695e-02
1.806640625000000000e-01,1.571923494338989258e-01
1.894531250000000000e-01,2.036305069923400879e-01
4.218750000000000000e-01,3.448817133903503418e-01
3.808593750000000000e-02,4.739779233932495117e-02
1.777343750000000000e-01,1.498420238494873047e-01
1.777343750000000000e-01,2.089732885360717773e-01
1.425781250000000000e-01,1.241421103477478027e-01
1.250000000000000000e-01,9.781563282012939453e-02
1.494140625000000000e-01,1.030664443969726562e-01
1.474609375000000000e-01,6.376802921295166016e-02
1.230468750000000000e-01,1.403700113296508789e-01
1.103515625000000000e-01,1.434532403945922852e-01
1.171875000000000000e-01,5.857270956039428711e-02
1.269531250000000000e-01,1.160342693328857422e-01
8.789062500000000000e-02,5.911523103713989258e-02
1.777343750000000000e-01,1.289060115814208984e-01
2.636718750000000000e-01,2.305805385112762451e-01
1.992187500000000000e-01,1.339212805032730103e-01
1.425781250000000000e-01,1.641098260879516602e-01
6.152343750000000000e-02,6.938934326171875000e-02
1.376953125000000000e-01,5.803549289703369141e-02
3.798828125000000000e-01,2.786117792129516602e-01
5.957031250000000000e-02,5.270946025848388672e-02
6.640625000000000000e-02,8.636346459388732910e-02
8.593750000000000000e-02,9.176409244537353516e-02
5.859375000000000000e-02,7.804918289184570312e-02
1.416015625000000000e-01,1.037571430206298828e-01
8.984375000000000000e-02,8.931851387023925781e-02
7.714843750000000000e-02,8.362710475921630859e-02
8.886718750000000000e-02,9.699624776840209961e-02
2.802734375000000000e-01,1.223362088203430176e-01
1.132812500000000000e-01,1.109589636325836182e-01
7.519531250000000000e-02,6.629204750061035156e-02
1.533203125000000000e-01,1.736032366752624512e-01
2.119140625000000000e-01,2.728372216224670410e-01
2.041015625000000000e-01,1.362143754959106445e-01
9.082031250000000000e-02,1.359047293663024902e-01
1.679687500000000000e-01,1.524068117141723633e-01
1.650390625000000000e-01,1.423444747924804688e-01
6.445312500000000000e-02,9.287798404693603516e-02
9.863281250000000000e-02,1.305972933769226074e-01
5.273437500000000000e-02,6.653857231140136719e-02
6.738281250000000000e-02,6.514894962310791016e-02
1.015625000000000000e-01,6.342196464538574219e-02
1.250000000000000000e-01,1.108279824256896973e-01
8.300781250000000000e-02,7.623088359832763672e-02
2.832031250000000000e-01,2.395911216735839844e-01
1.455078125000000000e-01,6.616413593292236328e-02
5.957031250000000000e-02,7.575571537017822266e-02
8.984375000000000000e-02,5.905014276504516602e-02
7.226562500000000000e-02,8.385896682739257812e-02
8.300781250000000000e-02,6.836616992950439453e-02
1.533203125000000000e-01,1.663302779197692871e-01
1.708984375000000000e-01,1.167892217636108398e-01
1.240234375000000000e-01,8.960801362991333008e-02
7.519531250000000000e-02,6.915616989135742188e-02
1.093750000000000000e-01,1.056643128395080566e-01
1.445312500000000000e-01,1.308717131614685059e-01
6.738281250000000000e-02,9.324860572814941406e-02
1.005859375000000000e-01,1.024125516414642334e-01
6.835937500000000000e-02,1.367382407188415527e-01
6.835937500000000000e-02,5.881810188293457031e-02
7.226562500000000000e-02,1.154682040214538574e-01
9.667968750000000000e-02,9.020173549652099609e-02
1.347656250000000000e-01,1.175574660301208496e-01
7.226562500000000000e-02,5.751621723175048828e-02
9.960937500000000000e-02,6.941711902618408203e-02
9.082031250000000000e-02,1.087815165519714355e-01
7.617187500000000000e-02,8.658200502395629883e-02
2.705078125000000000e-01,2.309346199035644531e-01
9.277343750000000000e-02,6.698203086853027344e-02
2.705078125000000000e-01,3.273761272430419922e-01
1.591796875000000000e-01,1.072246432304382324e-01
1.162109375000000000e-01,1.212413907051086426e-01
7.617187500000000000e-02,7.672023773193359375e-02
1.347656250000000000e-01,1.359045803546905518e-01
3.554687500000000000e-01,3.013351559638977051e-01
2.060546875000000000e-01,2.384968400001525879e-01
1.279296875000000000e-01,7.443964481353759766e-02
8.984375000000000000e-02,1.329901218414306641e-01
1.826171875000000000e-01,1.880601048469543457e-01
1.562500000000000000e-01,7.087230682373046875e-02
1.337890625000000000e-01,1.856628656387329102e-01
2.949218750000000000e-01,2.767563462257385254e-01
7.031250000000000000e-02,7.069730758666992188e-02
6.542968750000000000e-02,6.201010942459106445e-02
6.347656250000000000e-02,8.301222324371337891e-02
6.054687500000000000e-02,7.286536693572998047e-02
6.835937500000000000e-02,4.565966129302978516e-02
9.570312500000000000e-02,1.694124937057495117e-01
5.468750000000000000e-02,7.481992244720458984e-02
2.070312500000000000e-01,2.109752893447875977e-01
1.699218750000000000e-01,3.007641434669494629e-01
7.324218750000000000e-02,8.931005001068115234e-02
4.589843750000000000e-02,3.090512752532958984e-02
1.035156250000000000e-01,6.530117988586425781e-02
2.412109375000000000e-01,1.782517880201339722e-01
8.398437500000000000e-02,1.687600016593933105e-01
1.445312500000000000e-01,7.995797693729400635e-02
8.593750000000000000e-02,4.416805505752563477e-02
1.845703125000000000e-01,1.137863993644714355e-01
6.933593750000000000e-02,7.492116093635559082e-02
7.812500000000000000e-02,9.185934066772460938e-02
6.933593750000000000e-02,7.795882225036621094e-02
